customer_id,customer_name,email,phone,zone_id
1,Michelle Morales,christian29@yahoo.com,+1-894-627-7682,5
2,Tanya Randall,hwilliams@yahoo.com,+1-613-144-0432x597,3
3,Alicia Saunders,lisareyes@hotmail.com,(041)538-7857,5
4,Heather Brown,jcunningham@yahoo.com,812-146-6377,3
5,Richard Sanchez,johnsmith@hotmail.com,(245)016-8955x734,5
6,Whitney Kim,lorithompson@oconnor.com,968-898-4431,2
7,Helen Ramirez,dorothyhill@thompson-oliver.biz,001-016-805-2477x123,3
8,Marc Gonzalez,wsosa@banks.com,001-198-425-8034x54735,2
9,Nicholas Cruz,ronald71@miller.org,+1-868-718-0043x45682,5
10,John Brown,cookjill@gmail.com,018-520-4242x958,2
11,Rachel Barry,taylorcheryl@yahoo.com,224-105-4772,1
12,Meghan Valentine,denise13@banks-smith.com,604-649-8864,1
13,Darlene Chan,leonardcolleen@thomas-lopez.com,+1-349-862-5088x6917,5
14,Ian Bernard,erikkent@sawyer.com,(006)916-9557x164,2
15,Evelyn Baker,pthompson@hotmail.com,(649)613-6541,2
16,Sarah Mcguire,brownbrandon@gmail.com,(198)251-2939x23033,5
17,Sandra Johnson,jeremy29@yahoo.com,179-380-1359x5532,3
18,Christopher Allen,ihiggins@gmail.com,(204)626-7171x75676,5
19,John Pierce,amber32@hotmail.com,877.247.2726,3
20,Ruben Oconnor,aprilreilly@hotmail.com,(576)100-5565x33889,1
21,Margaret Horton,thouse@hotmail.com,001-370-383-4201x3880,2
22,Michael Blanchard,umccormick@hotmail.com,+1-741-713-0138x00367,2
23,Sandra Peterson,joe46@brown.biz,644-102-8168x926,4
24,Lisa Gutierrez,robinsonanthony@becker.com,001-439-111-5955,4
25,Tyler Perez,jeremylambert@sawyer.biz,8637462561,3
26,Ashley Henry,mary07@pittman-hunt.com,487.257.4974,4
27,Mrs. Laura Wallace,branchmegan@brown-gomez.com,426-006-4646,4
28,Alyssa Nunez,megan77@brown-medina.com,001-948-243-7911x0946,5
29,Dawn Austin,allenkelly@robinson-george.net,955.570.7071,4
30,Michael Adams,laurajenkins@hotmail.com,200-928-0841x5035,3
31,Steven Keith,gcarrillo@hotmail.com,001-760-536-1352x633,4
32,Angel Cannon,tgreene@gmail.com,+1-133-854-5712x16422,4
33,Sharon White,jrodriguez@santiago.com,+1-092-097-5894x042,1
34,Timothy Estes,ushepherd@wang.com,837-115-0828x7649,5
35,Paula Kemp,ilopez@hotmail.com,(289)293-2750x220,5
36,Elizabeth Stephens,cpena@yahoo.com,(760)102-0959x697,2
37,Timothy Shields MD,freemankristin@gmail.com,581.372.6761,1
38,William Young,spencertrevor@hotmail.com,(138)510-5943,5
39,Jocelyn Sullivan,michaelalvarado@gmail.com,947-403-3899x051,2
40,Lisa Fuller,christine95@barrera.com,745-930-0558x589,3
41,Robert Diaz,michaelhill@gmail.com,825-647-3246x6451,5
42,Stephanie Hall,martinkeith@hotmail.com,853.916.0569x84968,4
43,Samuel Mitchell,cmartin@hotmail.com,693-803-5275x39158,2
